R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo,Unnamed: 35,Broj povrijeđenih osoba,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Kategorija saobraćajnice.1,Datum i vrijeme nastanka saobraćajne nezgode,Dio dana,Stanje kolovoza.1,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Broj poginulih osoba.1,Unnamed: 73,Unnamed: 74,Tip saobraćajne nezgode (izvorno iz zapisnika MUP-a),Tip saobraćajne nezgode,Putnički automobil.1,Pješak.1,Romobil.1,Bicikl.1,Motocikl.1,Lako teretno vozilo.1,Teško teretno vozilo.1,Autobus.1,Traktor.1,Ostalo.1,Unnamed: 87
170,43.87829628,18.41015261,Lokalna cesta,25.08.2022.,16:20:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,43.85886537,18.42040028,Lokalna cesta,30.08.2022.,09:10:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,43.84925813,18.37982878,Lokalna cesta,30.08.2022.,23:35:00,Vedro,Noć,Suh,0,1,3,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,4,0,2.0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,43.85374785,18.364521,Lokalna cesta,22.05.2022.,11:10:00,Vedro,Dan,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,43.84807264,18.359999,Magistralna cesta,26.05.2022.,16:00:00,Vedro,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,,,,1.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,43.8542794,18.3663725,Lokalna cesta,27.05.2022.,19:30:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,43.84807264,18.359999,Magistralna cesta,30.05.2022.,15:00:00,Kiša,Dan,Mokar,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,3.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,43.8542794,18.3663725,Lokalna cesta,08.06.2022.,14:05:00,Vedro,Dan,Suh,0,0,2,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,43.84807264,18.359999,Magistralna cesta,13.06.2022.,13:50:00,Kiša,Dan,Mokar,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,43.8542794,18.3663725,Lokalna cesta,13.06.2022.,22:40:00,Oblačno,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,43.84807264,18.359999,Magistralna cesta,16.06.2022.,12:05:00,Vedro,Dan,Suh,0,0,3,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,43.84807264,18.359999,Magistralna cesta,20.06.2022.,08:25:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,43.84807264,18.359999,Magistralna cesta,20.06.2022.,12:30:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,43.84807264,18.359999,Magistralna cesta,21.06.2022.,07:10:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,43.84807264,18.359999,Magistralna cesta,22.06.2022.,12:40:00,Vedro,Dan,Suh,0,0,2,Sudar prilikom preticanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,43.85374785,18.364521,Lokalna cesta,24.06.2022.,11:25:00,Oblačno,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,43.84807264,18.359999,Magistralna cesta,01.07.2022.,13:00:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,43.84807264,18.359999,Magistralna cesta,02.07.2022.,20:50:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,1.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,43.84716326,18.3737087,Lokalna cesta,02.07.2022.,23:30:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,43.8542794,18.3663725,Lokalna cesta,04.07.2022.,00:20:00,Vedro,Noć,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,43.84807264,18.359999,Magistralna cesta,15.07.2022.,07:45:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,43.8508908,18.37183916,Lokalna cesta,16.07.2022.,13:55:00,Oblačno,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,43.8542794,18.3663725,Lokalna cesta,18.07.2022.,18:45:00,Vedro,Sumrak,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,43.84807264,18.359999,Magistralna cesta,19.07.2022.,17:40:00,Vedro,Dan,Suh,0,1,1,Izlijetanje izvan kolovoza,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,1.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,43.8542794,18.3663725,Lokalna cesta,20.07.2022.,17:10:00,Vedro,Dan,Suh,0,0,3,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,3,0,2.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,43.84807264,18.359999,Magistralna cesta,21.07.2022.,15:00:00,Oblačno,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,43.85374785,18.364521,Lokalna cesta,27.07.2022.,20:17:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,43.84807264,18.359999,Magistralna cesta,29.07.2022.,14:50:00,Kiša,Dan,Mokar,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,43.84807264,18.359999,Magistralna cesta,04.08.2022.,14:35:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,43.84886739,18.36026483,Lokalna cesta,06.08.2022.,18:35:00,Vedro,Sumrak,Suh,0,0,2,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,1.0,2.0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,43.84807264,18.359999,Magistralna cesta,11.08.2022.,08:50:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,43.84807264,18.359999,Magistralna cesta,15.08.2022.,11:00:00,Kiša,Dan,Mokar,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,43.8542794,18.3663725,Lokalna cesta,18.08.2022.,16:00:00,Oblačno,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,43.84560975,18.3552127,Lokalna cesta,27.08.2022.,15:20:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,,,,,,,,2.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,43.84352014,18.33224351,Magistralna cesta,04.03.2022.,18:45:00,Vedro,Sumrak,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,3.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,43.843786,18.334426,Magistralna cesta,20.05.2022.,21:50:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,43.843786,18.334426,Magistralna cesta,12.06.2022.,20:10:00,Vedro,Noć,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,2,0,1.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,43.84428297,18.33665926,Magistralna cesta,18.06.2022.,06:25:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,43.84285528,18.32867817,Magistralna cesta,22.07.2022.,12:00:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,43.843786,18.334426,Magistralna cesta,30.07.2022.,12:40:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,43.85776872,18.391366,Lokalna cesta,17.05.2022.,09:00:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Kružni tok,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,43.85626845,18.39183927,Lokalna cesta,28.05.2022.,14:00:00,Vedro,Dan,Suh,0,0,3,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,43.85086272,18.36645863,Lokalna cesta,28.05.2022.,15:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Kružni tok,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,43.858196,18.383011,Lokalna cesta,02.06.2022.,06:20:00,Vedro,Dan,Suh,0,0,3,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,43.8479345,18.40156504,Magistralna cesta,29.06.2022.,21:05:00,Vedro,Noć,Suh,0,0,2,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,43.855309,18.37375,Lokalna cesta,12.07.2022.,16:20:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,43.852155,18.383015,Magistralna cesta,13.07.2022.,13:40:00,Vedro,Dan,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,43.85354,18.392194,Lokalna cesta,14.07.2022.,15:15:00,Vedro,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,43.859504,18.389688,Lokalna cesta,19.07.2022.,15:30:00,Vedro,Dan,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,43.847596,18.381519,Magistralna cesta,21.07.2022.,14:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,43.849836,18.371944,Magistralna cesta,22.07.2022.,16:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,43.850589,18.37238,Magistralna cesta,23.07.2022.,15:30:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,43.852237,18.38387,Magistralna cesta,04.08.2022.,18:30:00,Vedro,Sumrak,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,43.82591,18.35025,Lokalna cesta,2022-09-13 00:00:00,18:50:00,Oblačno,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
224,43.83272,18.34452,Lokalna cesta,2022-09-28 00:00:00,12:05:00,Oblačno,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1.0,,,,,,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Izlijetanje izvan kolovoza,Izlijetanje izvan kolovoza,PA,,,,,,,Autobus,,,
225,43.82257,18.33481,Lokalna cesta,2022-10-06 00:00:00,19:15:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
226,43.82257,18.32759,Lokalna cesta,2022-10-20 00:00:00,10:25:00,Vedro,Dan,Suh,0,0,3,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,3,0,1.0,,,,,1.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,LTV,,,,,
227,43.84516,18.34127,Lokalna cesta,2022-11-18 00:00:00,22:00:00,Kiša,Noć,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,1.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Čeoni sudar vozila sa pješakom,Čeoni udar u pješaka,PA,,,,,,,Autobus,,,
228,43.82928,18.34531,Lokalna cesta,2022-11-22 00:00:00,07:50:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
229,43.83568,18.34283,Lokalna cesta,2022-11-30 00:00:00,17:15:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
230,43.83062,18.34993,Lokalna cesta,2022-12-19 00:00:00,09:20:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,,,,,,1.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar prilikom obilaženja,Sudar prilikom obilaženja,,,,,,LTV,,,,,
231,43.83166,18.34349,Lokalna cesta,2022-12-24 00:00:00,22:10:00,Magla,Noć,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar prilikom skretanja,Sudar prilikom skretanja,PA,,,,,,,,,,
232,43.83166,18.33639,Lokalna cesta,2023-01-04 00:00:00,18:40:00,Vedro,Noć,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Čeoni sudar sa pješakom,Čeoni udar u pješaka,PA,,,,,,,,,,
233,43.82882,18.33464,Lokalna cesta,2023-01-05 00:00:00,22:10:00,Vedro,Noć,Suh,0,1,2,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Ne,Da,0,0,3,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Izlijetanje izvan kolovoza,Izlijetanje izvan kolovoza,PA,,,,,,,,,,
